phrog_id	color	annot	category
phrog_8681	#c9c9c9	NA	unknown function
phrog_8682	#c9c9c9	NA	unknown function
phrog_8683	#c9c9c9	NA	unknown function
phrog_8684	#c9c9c9	NA	unknown function
phrog_8685	#c9c9c9	NA	unknown function
phrog_8686	#c9c9c9	NA	unknown function
phrog_8687	#838383	tail protein with peptidase activity	other
phrog_8688	#c9c9c9	NA	unknown function
phrog_8689	#07e9a2	pilot protein for DNA ejection	tail
phrog_8690	#c9c9c9	NA	unknown function
phrog_8691	#c9c9c9	NA	unknown function
phrog_8692	#c9c9c9	NA	unknown function
phrog_8693	#07e9a2	pilot protein for DNA ejection	tail
phrog_8694	#c9c9c9	NA	unknown function
phrog_8695	#c9c9c9	NA	unknown function
phrog_8696	#c9c9c9	NA	unknown function
phrog_8697	#c9c9c9	NA	unknown function
phrog_8698	#c9c9c9	NA	unknown function
phrog_8699	#c9c9c9	NA	unknown function
phrog_8700	#c9c9c9	NA	unknown function
phrog_8701	#c9c9c9	NA	unknown function
phrog_8702	#c9c9c9	NA	unknown function
phrog_8703	#c9c9c9	NA	unknown function
phrog_8704	#07e9a2	tail protein	tail
phrog_8705	#c9c9c9	NA	unknown function
phrog_8706	#c9c9c9	NA	unknown function
phrog_8707	#c9c9c9	NA	unknown function
phrog_8708	#c9c9c9	NA	unknown function
phrog_8709	#c9c9c9	NA	unknown function
phrog_8710	#c9c9c9	NA	unknown function
phrog_8711	#3e83f6	terminase large subunit	head and packaging
phrog_8712	#c9c9c9	NA	unknown function
phrog_8713	#07e9a2	tail fiber protein	tail
phrog_8714	#c9c9c9	NA	unknown function
phrog_8715	#c9c9c9	NA	unknown function
phrog_8716	#07e9a2	tail fiber protein	tail
phrog_8717	#c9c9c9	NA	unknown function
phrog_8718	#c9c9c9	NA	unknown function
phrog_8719	#c9c9c9	NA	unknown function
phrog_8720	#c9c9c9	NA	unknown function
phrog_8721	#c9c9c9	NA	unknown function
phrog_8722	#c9c9c9	NA	unknown function
phrog_8723	#c9c9c9	NA	unknown function
phrog_8724	#c9c9c9	NA	unknown function
phrog_8725	#c9c9c9	NA	unknown function
phrog_8726	#c9c9c9	NA	unknown function
phrog_8727	#c9c9c9	NA	unknown function
phrog_8728	#c9c9c9	NA	unknown function
phrog_8729	#c9c9c9	NA	unknown function
phrog_8730	#c9c9c9	NA	unknown function
phrog_8731	#c9c9c9	NA	unknown function
phrog_8732	#c9c9c9	NA	unknown function
phrog_8733	#c9c9c9	NA	unknown function
phrog_8734	#c9c9c9	NA	unknown function
phrog_8735	#c9c9c9	NA	unknown function
phrog_8736	#c9c9c9	NA	unknown function
phrog_8737	#c9c9c9	NA	unknown function
phrog_8738	#c9c9c9	NA	unknown function
phrog_8739	#c9c9c9	NA	unknown function
phrog_8740	#c9c9c9	NA	unknown function
phrog_8741	#c9c9c9	NA	unknown function
phrog_8742	#07e9a2	pilot protein for DNA ejection	tail
phrog_8743	#c9c9c9	NA	unknown function
phrog_8744	#c9c9c9	NA	unknown function
phrog_8745	#07e9a2	tail fiber protein	tail
phrog_8746	#07e9a2	tail fiber assembly protein	tail
phrog_8747	#c9c9c9	NA	unknown function
phrog_8748	#c9c9c9	NA	unknown function
phrog_8749	#c9c9c9	NA	unknown function
phrog_8750	#c9c9c9	NA	unknown function
phrog_8751	#c9c9c9	NA	unknown function
phrog_8752	#c9c9c9	NA	unknown function
phrog_8753	#c9c9c9	NA	unknown function
phrog_8754	#c9c9c9	NA	unknown function
phrog_8755	#c9c9c9	NA	unknown function
phrog_8756	#c9c9c9	NA	unknown function
phrog_8757	#3e83f6	virion structural protein	head and packaging
phrog_8758	#c9c9c9	NA	unknown function
phrog_8759	#c9c9c9	NA	unknown function
phrog_8760	#c9c9c9	NA	unknown function
phrog_8761	#c9c9c9	NA	unknown function
phrog_8762	#c9c9c9	NA	unknown function
phrog_8763	#07e9a2	tail protein	tail
phrog_8764	#3e83f6	virion structural protein	head and packaging
phrog_8765	#3e83f6	internal virion protein	head and packaging
phrog_8766	#c9c9c9	NA	unknown function
phrog_8767	#c9c9c9	NA	unknown function
phrog_8768	#c9c9c9	NA	unknown function
phrog_8769	#838383	methyltransferase	other
phrog_8770	#c9c9c9	NA	unknown function
phrog_8771	#c9c9c9	NA	unknown function
phrog_8772	#c9c9c9	NA	unknown function
phrog_8773	#c9c9c9	NA	unknown function
phrog_8774	#c9c9c9	NA	unknown function
phrog_8775	#c9c9c9	NA	unknown function
phrog_8776	#c9c9c9	NA	unknown function
phrog_8777	#c9c9c9	NA	unknown function
phrog_8778	#c9c9c9	NA	unknown function
phrog_8779	#c9c9c9	NA	unknown function
phrog_8780	#07e9a2	minor tail protein	tail
phrog_8781	#f35f49	endolysin	lysis
phrog_8782	#ff59f5	PufC cytochrome	moron, auxiliary metabolic gene and host takeover
phrog_8783	#c9c9c9	NA	unknown function
phrog_8784	#ff59f5	dTDP-4-dehydrorhamnose 3,5-epimerase	moron, auxiliary metabolic gene and host takeover
phrog_8785	#c9c9c9	NA	unknown function
phrog_8786	#ff59f5	type I-E anti-CRISPR protein	moron, auxiliary metabolic gene and host takeover
phrog_8787	#c9c9c9	NA	unknown function
phrog_8788	#c9c9c9	NA	unknown function
phrog_8789	#c9c9c9	NA	unknown function
phrog_8790	#ffdf59	restriction endonuclease	DNA, RNA and nucleotide metabolism
phrog_8791	#c9c9c9	NA	unknown function
phrog_8792	#c9c9c9	NA	unknown function
phrog_8793	#c9c9c9	NA	unknown function
phrog_8794	#a861e3	sigma factor	transcription regulation
phrog_8795	#c9c9c9	NA	unknown function
phrog_8796	#c9c9c9	NA	unknown function
phrog_8797	#35d7ff	head closure Hc1	connector
phrog_8798	#c9c9c9	NA	unknown function
phrog_8799	#c9c9c9	NA	unknown function
phrog_8800	#c9c9c9	NA	unknown function
phrog_8801	#c9c9c9	NA	unknown function
phrog_8802	#c9c9c9	NA	unknown function
phrog_8803	#c9c9c9	NA	unknown function
phrog_8804	#c9c9c9	NA	unknown function
phrog_8805	#c9c9c9	NA	unknown function
phrog_8806	#c9c9c9	NA	unknown function
phrog_8807	#c9c9c9	NA	unknown function
phrog_8808	#c9c9c9	NA	unknown function
phrog_8809	#c9c9c9	NA	unknown function
phrog_8810	#c9c9c9	NA	unknown function
phrog_8811	#c9c9c9	NA	unknown function
phrog_8812	#c9c9c9	NA	unknown function
phrog_8813	#c9c9c9	NA	unknown function
phrog_8814	#c9c9c9	NA	unknown function
phrog_8815	#c9c9c9	NA	unknown function
phrog_8816	#c9c9c9	NA	unknown function
phrog_8817	#c9c9c9	NA	unknown function
phrog_8818	#c9c9c9	NA	unknown function
phrog_8819	#c9c9c9	NA	unknown function
phrog_8820	#c9c9c9	NA	unknown function
phrog_8821	#f35f49	Rz-like spanin	lysis
phrog_8822	#c9c9c9	NA	unknown function
phrog_8823	#3e83f6	terminase small subunit	head and packaging
phrog_8824	#c9c9c9	NA	unknown function
phrog_8825	#c9c9c9	NA	unknown function
phrog_8826	#c9c9c9	NA	unknown function
phrog_8827	#c9c9c9	NA	unknown function
phrog_8828	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
phrog_8829	#c9c9c9	NA	unknown function
phrog_8830	#c9c9c9	NA	unknown function
phrog_8831	#c9c9c9	NA	unknown function
phrog_8832	#c9c9c9	NA	unknown function
phrog_8833	#c9c9c9	NA	unknown function
phrog_8834	#c9c9c9	NA	unknown function
phrog_8835	#c9c9c9	NA	unknown function
phrog_8836	#c9c9c9	NA	unknown function
phrog_8837	#c9c9c9	NA	unknown function
phrog_8838	#c9c9c9	NA	unknown function
phrog_8839	#c9c9c9	NA	unknown function
phrog_8840	#c9c9c9	NA	unknown function
phrog_8841	#ffdf59	DNA primase/helicase	DNA, RNA and nucleotide metabolism
phrog_8842	#c9c9c9	NA	unknown function
phrog_8843	#c9c9c9	NA	unknown function
phrog_8844	#c9c9c9	NA	unknown function
phrog_8845	#c9c9c9	NA	unknown function
phrog_8846	#c9c9c9	NA	unknown function
phrog_8847	#c9c9c9	NA	unknown function
phrog_8848	#c9c9c9	NA	unknown function
phrog_8849	#c9c9c9	NA	unknown function
phrog_8850	#c9c9c9	NA	unknown function
phrog_8851	#838383	outer membrane protein	other
phrog_8852	#c9c9c9	NA	unknown function
phrog_8853	#c9c9c9	NA	unknown function
phrog_8854	#c9c9c9	NA	unknown function
phrog_8855	#ffdf59	replication protein	DNA, RNA and nucleotide metabolism
phrog_8856	#c9c9c9	NA	unknown function
phrog_8857	#c9c9c9	NA	unknown function
phrog_8858	#ff59f5	glycosyltransferase	moron, auxiliary metabolic gene and host takeover
phrog_8859	#c9c9c9	NA	unknown function
phrog_8860	#c9c9c9	NA	unknown function
phrog_8861	#c9c9c9	NA	unknown function
phrog_8862	#c9c9c9	NA	unknown function
phrog_8863	#c9c9c9	NA	unknown function
phrog_8864	#c9c9c9	NA	unknown function
phrog_8865	#3e83f6	head scaffolding protein	head and packaging
phrog_8866	#c9c9c9	NA	unknown function
phrog_8867	#c9c9c9	NA	unknown function
phrog_8868	#c9c9c9	NA	unknown function
phrog_8869	#c9c9c9	NA	unknown function
phrog_8870	#c9c9c9	NA	unknown function
phrog_8871	#c9c9c9	NA	unknown function
phrog_8872	#c9c9c9	NA	unknown function
phrog_8873	#c9c9c9	NA	unknown function
phrog_8874	#07e9a2	tail fiber protein	tail
phrog_8875	#07e9a2	tail fiber protein	tail
phrog_8876	#c9c9c9	NA	unknown function
phrog_8877	#c9c9c9	NA	unknown function
phrog_8878	#c9c9c9	NA	unknown function
phrog_8879	#c9c9c9	NA	unknown function
phrog_8880	#c9c9c9	NA	unknown function
phrog_8881	#c9c9c9	NA	unknown function
phrog_8882	#c9c9c9	NA	unknown function
phrog_8883	#c9c9c9	NA	unknown function
phrog_8884	#c9c9c9	NA	unknown function
phrog_8885	#c9c9c9	NA	unknown function
phrog_8886	#c9c9c9	NA	unknown function
phrog_8887	#ff59f5	toxin	moron, auxiliary metabolic gene and host takeover
phrog_8888	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
phrog_8889	#c9c9c9	NA	unknown function
phrog_8890	#c9c9c9	NA	unknown function
phrog_8891	#c9c9c9	NA	unknown function
phrog_8892	#07e9a2	tail length tape measure protein	tail
phrog_8893	#c9c9c9	NA	unknown function
phrog_8894	#c9c9c9	NA	unknown function
phrog_8895	#c9c9c9	NA	unknown function
phrog_8896	#fea328	excisionase	integration and excision
phrog_8897	#c9c9c9	NA	unknown function
phrog_8898	#c9c9c9	NA	unknown function
phrog_8899	#c9c9c9	NA	unknown function
phrog_8900	#c9c9c9	NA	unknown function
phrog_8901	#c9c9c9	NA	unknown function
phrog_8902	#c9c9c9	NA	unknown function
phrog_8903	#c9c9c9	NA	unknown function
phrog_8904	#c9c9c9	NA	unknown function
phrog_8905	#c9c9c9	NA	unknown function
phrog_8906	#c9c9c9	NA	unknown function
phrog_8907	#c9c9c9	NA	unknown function
phrog_8908	#c9c9c9	NA	unknown function
phrog_8909	#c9c9c9	NA	unknown function
phrog_8910	#c9c9c9	NA	unknown function
phrog_8911	#c9c9c9	NA	unknown function
phrog_8912	#c9c9c9	NA	unknown function
phrog_8913	#3e83f6	minor head protein	head and packaging
phrog_8914	#3e83f6	virion structural protein	head and packaging
phrog_8915	#c9c9c9	NA	unknown function
phrog_8916	#ff59f5	PufA cytochrome subunit	moron, auxiliary metabolic gene and host takeover
phrog_8917	#c9c9c9	NA	unknown function
phrog_8918	#c9c9c9	NA	unknown function
phrog_8919	#c9c9c9	NA	unknown function
phrog_8920	#c9c9c9	NA	unknown function
phrog_8921	#c9c9c9	NA	unknown function
phrog_8922	#c9c9c9	NA	unknown function
phrog_8923	#c9c9c9	NA	unknown function
phrog_8924	#c9c9c9	NA	unknown function
phrog_8925	#c9c9c9	NA	unknown function
phrog_8926	#c9c9c9	NA	unknown function
phrog_8927	#07e9a2	tail length tape measure protein	tail
phrog_8928	#c9c9c9	NA	unknown function
phrog_8929	#c9c9c9	NA	unknown function
phrog_8930	#c9c9c9	NA	unknown function
phrog_8931	#c9c9c9	NA	unknown function
phrog_8932	#c9c9c9	NA	unknown function
phrog_8933	#c9c9c9	NA	unknown function
phrog_8934	#c9c9c9	NA	unknown function
phrog_8935	#c9c9c9	NA	unknown function
phrog_8936	#c9c9c9	NA	unknown function
phrog_8937	#c9c9c9	NA	unknown function
phrog_8938	#c9c9c9	NA	unknown function
phrog_8939	#c9c9c9	NA	unknown function
phrog_8940	#07e9a2	capsid assembly protein	tail
phrog_8941	#c9c9c9	NA	unknown function
phrog_8942	#c9c9c9	NA	unknown function
phrog_8943	#c9c9c9	NA	unknown function
phrog_8944	#ffdf59	goF mRNA metabolism modulator	DNA, RNA and nucleotide metabolism
phrog_8945	#ff59f5	stringent starvation protein Sspb-like	moron, auxiliary metabolic gene and host takeover
phrog_8946	#c9c9c9	NA	unknown function
phrog_8947	#c9c9c9	NA	unknown function
phrog_8948	#c9c9c9	NA	unknown function
phrog_8949	#c9c9c9	NA	unknown function
phrog_8950	#c9c9c9	NA	unknown function
phrog_8951	#c9c9c9	NA	unknown function
phrog_8952	#c9c9c9	NA	unknown function
phrog_8953	#c9c9c9	NA	unknown function
phrog_8954	#c9c9c9	NA	unknown function
phrog_8955	#c9c9c9	NA	unknown function
phrog_8956	#c9c9c9	NA	unknown function
phrog_8957	#c9c9c9	NA	unknown function
phrog_8958	#c9c9c9	NA	unknown function
phrog_8959	#c9c9c9	NA	unknown function
phrog_8960	#3e83f6	head scaffolding protein	head and packaging
phrog_8961	#c9c9c9	NA	unknown function
phrog_8962	#c9c9c9	NA	unknown function
phrog_8963	#07e9a2	tail assembly chaperone	tail
phrog_8964	#c9c9c9	NA	unknown function
phrog_8965	#c9c9c9	NA	unknown function
phrog_8966	#c9c9c9	NA	unknown function
phrog_8967	#c9c9c9	NA	unknown function
phrog_8968	#c9c9c9	NA	unknown function
phrog_8969	#c9c9c9	NA	unknown function
phrog_8970	#c9c9c9	NA	unknown function
phrog_8971	#f35f49	Rz-like spanin	lysis
phrog_8972	#c9c9c9	NA	unknown function
phrog_8973	#c9c9c9	NA	unknown function
phrog_8974	#c9c9c9	NA	unknown function
phrog_8975	#c9c9c9	NA	unknown function
phrog_8976	#c9c9c9	NA	unknown function
phrog_8977	#c9c9c9	NA	unknown function
phrog_8978	#c9c9c9	NA	unknown function
phrog_8979	#c9c9c9	NA	unknown function
phrog_8980	#c9c9c9	NA	unknown function
phrog_8981	#c9c9c9	NA	unknown function
phrog_8982	#c9c9c9	NA	unknown function
phrog_8983	#c9c9c9	NA	unknown function
phrog_8984	#c9c9c9	NA	unknown function
phrog_8985	#07e9a2	tail tube protein	tail
phrog_8986	#c9c9c9	NA	unknown function
phrog_8987	#c9c9c9	NA	unknown function
phrog_8988	#c9c9c9	NA	unknown function
phrog_8989	#c9c9c9	NA	unknown function
phrog_8990	#838383	sigma 54 modulation protein/ribosomal protein S30EA	other
phrog_8991	#c9c9c9	NA	unknown function
phrog_8992	#c9c9c9	NA	unknown function
phrog_8993	#c9c9c9	NA	unknown function
phrog_8994	#c9c9c9	NA	unknown function
phrog_8995	#838383	phosphoribosyl transferase	other
phrog_8996	#c9c9c9	NA	unknown function
phrog_8997	#c9c9c9	NA	unknown function
phrog_8998	#c9c9c9	NA	unknown function
phrog_8999	#c9c9c9	NA	unknown function
phrog_9000	#c9c9c9	NA	unknown function
phrog_9001	#07e9a2	tail assembly chaperone	tail
phrog_9002	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
phrog_9003	#c9c9c9	NA	unknown function
phrog_9004	#c9c9c9	NA	unknown function
phrog_9005	#c9c9c9	NA	unknown function
phrog_9006	#c9c9c9	NA	unknown function
phrog_9007	#c9c9c9	NA	unknown function
phrog_9008	#c9c9c9	NA	unknown function
phrog_9009	#c9c9c9	NA	unknown function
phrog_9010	#c9c9c9	NA	unknown function
phrog_9011	#c9c9c9	NA	unknown function
phrog_9012	#c9c9c9	NA	unknown function
phrog_9013	#3e83f6	head scaffolding protein	head and packaging
phrog_9014	#ff59f5	Gp5.9-like inihibitor of recBCD nuclease	moron, auxiliary metabolic gene and host takeover
phrog_9015	#c9c9c9	NA	unknown function
phrog_9016	#c9c9c9	NA	unknown function
phrog_9017	#07e9a2	tail fiber protein	tail
phrog_9018	#c9c9c9	NA	unknown function
phrog_9019	#ffdf59	Holliday junction resolvase	DNA, RNA and nucleotide metabolism
phrog_9020	#c9c9c9	NA	unknown function
phrog_9021	#c9c9c9	NA	unknown function
phrog_9022	#c9c9c9	NA	unknown function
phrog_9023	#c9c9c9	NA	unknown function
phrog_9024	#c9c9c9	NA	unknown function
phrog_9025	#c9c9c9	NA	unknown function
phrog_9026	#c9c9c9	NA	unknown function
phrog_9027	#c9c9c9	NA	unknown function
phrog_9028	#c9c9c9	NA	unknown function
phrog_9029	#c9c9c9	NA	unknown function
phrog_9030	#c9c9c9	NA	unknown function
phrog_9031	#c9c9c9	NA	unknown function
phrog_9032	#c9c9c9	NA	unknown function
phrog_9033	#c9c9c9	NA	unknown function
phrog_9034	#c9c9c9	NA	unknown function
phrog_9035	#c9c9c9	NA	unknown function
phrog_9036	#c9c9c9	NA	unknown function
phrog_9037	#c9c9c9	NA	unknown function
phrog_9038	#c9c9c9	NA	unknown function
phrog_9039	#c9c9c9	NA	unknown function
phrog_9040	#c9c9c9	NA	unknown function
phrog_9041	#c9c9c9	NA	unknown function
phrog_9042	#c9c9c9	NA	unknown function
phrog_9043	#c9c9c9	NA	unknown function
phrog_9044	#c9c9c9	NA	unknown function
phrog_9045	#c9c9c9	NA	unknown function
phrog_9046	#c9c9c9	NA	unknown function
phrog_9047	#c9c9c9	NA	unknown function
phrog_9048	#c9c9c9	NA	unknown function
phrog_9049	#c9c9c9	NA	unknown function
phrog_9050	#c9c9c9	NA	unknown function
phrog_9051	#c9c9c9	NA	unknown function
phrog_9052	#838383	hemagglutinin	other
phrog_9053	#c9c9c9	NA	unknown function
phrog_9054	#c9c9c9	NA	unknown function
phrog_9055	#c9c9c9	NA	unknown function
phrog_9056	#c9c9c9	NA	unknown function
phrog_9057	#c9c9c9	NA	unknown function
phrog_9058	#c9c9c9	NA	unknown function
phrog_9059	#c9c9c9	NA	unknown function
phrog_9060	#c9c9c9	NA	unknown function
phrog_9061	#c9c9c9	NA	unknown function
phrog_9062	#c9c9c9	NA	unknown function
phrog_9063	#c9c9c9	NA	unknown function
phrog_9064	#3e83f6	portal protein	head and packaging
phrog_9065	#c9c9c9	NA	unknown function
phrog_9066	#f35f49	endolysin	lysis
phrog_9067	#c9c9c9	NA	unknown function
phrog_9068	#c9c9c9	NA	unknown function
phrog_9069	#c9c9c9	NA	unknown function
phrog_9070	#c9c9c9	NA	unknown function
phrog_9071	#c9c9c9	NA	unknown function
phrog_9072	#ffdf59	thymidylate synthase complementing protein	DNA, RNA and nucleotide metabolism
phrog_9073	#c9c9c9	NA	unknown function
phrog_9074	#c9c9c9	NA	unknown function
phrog_9075	#c9c9c9	NA	unknown function
phrog_9076	#c9c9c9	NA	unknown function
phrog_9077	#c9c9c9	NA	unknown function
phrog_9078	#c9c9c9	NA	unknown function
phrog_9079	#c9c9c9	NA	unknown function
phrog_9080	#c9c9c9	NA	unknown function
phrog_9081	#c9c9c9	NA	unknown function
phrog_9082	#c9c9c9	NA	unknown function
phrog_9083	#c9c9c9	NA	unknown function
phrog_9084	#ffdf59	homing endonuclease	DNA, RNA and nucleotide metabolism
phrog_9085	#c9c9c9	NA	unknown function
phrog_9086	#c9c9c9	NA	unknown function
phrog_9087	#c9c9c9	NA	unknown function
phrog_9088	#c9c9c9	NA	unknown function
phrog_9089	#c9c9c9	NA	unknown function
phrog_9090	#ff59f5	membrane protein	moron, auxiliary metabolic gene and host takeover
phrog_9091	#c9c9c9	NA	unknown function
phrog_9092	#838383	inhibitor of host Lon protease	other
phrog_9093	#c9c9c9	NA	unknown function
phrog_9094	#c9c9c9	NA	unknown function
phrog_9095	#c9c9c9	NA	unknown function
phrog_9096	#c9c9c9	NA	unknown function
phrog_9097	#c9c9c9	NA	unknown function
phrog_9098	#c9c9c9	NA	unknown function
phrog_9099	#c9c9c9	NA	unknown function
phrog_9100	#c9c9c9	NA	unknown function
phrog_9101	#c9c9c9	NA	unknown function
phrog_9102	#c9c9c9	NA	unknown function
phrog_9103	#a861e3	transcriptional repressor	transcription regulation
phrog_9104	#c9c9c9	NA	unknown function
phrog_9105	#c9c9c9	NA	unknown function
phrog_9106	#c9c9c9	NA	unknown function
phrog_9107	#c9c9c9	NA	unknown function
phrog_9108	#c9c9c9	NA	unknown function
phrog_9109	#c9c9c9	NA	unknown function
phrog_9110	#c9c9c9	NA	unknown function
phrog_9111	#c9c9c9	NA	unknown function
phrog_9112	#c9c9c9	NA	unknown function
phrog_9113	#c9c9c9	NA	unknown function
phrog_9114	#c9c9c9	NA	unknown function
phrog_9115	#c9c9c9	NA	unknown function
phrog_9116	#07e9a2	tail protein	tail
phrog_9117	#c9c9c9	NA	unknown function
phrog_9118	#c9c9c9	NA	unknown function
phrog_9119	#c9c9c9	NA	unknown function
phrog_9120	#c9c9c9	NA	unknown function
phrog_9121	#c9c9c9	NA	unknown function
phrog_9122	#c9c9c9	NA	unknown function
phrog_9123	#c9c9c9	NA	unknown function
phrog_9124	#c9c9c9	NA	unknown function
phrog_9125	#c9c9c9	NA	unknown function
phrog_9126	#c9c9c9	NA	unknown function
phrog_9127	#c9c9c9	NA	unknown function
phrog_9128	#c9c9c9	NA	unknown function
phrog_9129	#c9c9c9	NA	unknown function
phrog_9130	#3e83f6	virion structural protein	head and packaging
phrog_9131	#c9c9c9	NA	unknown function
phrog_9132	#c9c9c9	NA	unknown function
phrog_9133	#c9c9c9	NA	unknown function
phrog_9134	#c9c9c9	NA	unknown function
phrog_9135	#c9c9c9	NA	unknown function
phrog_9136	#c9c9c9	NA	unknown function
phrog_9137	#ff59f5	cytolethal distending toxin A subunit	moron, auxiliary metabolic gene and host takeover
phrog_9138	#c9c9c9	NA	unknown function
phrog_9139	#c9c9c9	NA	unknown function
phrog_9140	#c9c9c9	NA	unknown function
phrog_9141	#c9c9c9	NA	unknown function
phrog_9142	#c9c9c9	NA	unknown function
phrog_9143	#c9c9c9	NA	unknown function
phrog_9144	#c9c9c9	NA	unknown function
phrog_9145	#07e9a2	tail length tape measure protein	tail
phrog_9146	#c9c9c9	NA	unknown function
phrog_9147	#c9c9c9	NA	unknown function
phrog_9148	#838383	UDP-glucose dehydrogenase	other
phrog_9149	#c9c9c9	NA	unknown function
phrog_9150	#c9c9c9	NA	unknown function
phrog_9151	#ff59f5	HicB-like antitoxin	moron, auxiliary metabolic gene and host takeover
phrog_9152	#c9c9c9	NA	unknown function
phrog_9153	#c9c9c9	NA	unknown function
phrog_9154	#c9c9c9	NA	unknown function
phrog_9155	#c9c9c9	NA	unknown function
phrog_9156	#c9c9c9	NA	unknown function
phrog_9157	#c9c9c9	NA	unknown function
phrog_9158	#c9c9c9	NA	unknown function
phrog_9159	#c9c9c9	NA	unknown function
phrog_9160	#c9c9c9	NA	unknown function
phrog_9161	#c9c9c9	NA	unknown function
phrog_9162	#c9c9c9	NA	unknown function
phrog_9163	#c9c9c9	NA	unknown function
phrog_9164	#c9c9c9	NA	unknown function
phrog_9165	#c9c9c9	NA	unknown function
phrog_9166	#c9c9c9	NA	unknown function
phrog_9167	#c9c9c9	NA	unknown function
phrog_9168	#c9c9c9	NA	unknown function
phrog_9169	#c9c9c9	NA	unknown function
phrog_9170	#c9c9c9	NA	unknown function
phrog_9171	#c9c9c9	NA	unknown function
phrog_9172	#c9c9c9	NA	unknown function
phrog_9173	#c9c9c9	NA	unknown function
phrog_9174	#c9c9c9	NA	unknown function
phrog_9175	#c9c9c9	NA	unknown function
phrog_9176	#c9c9c9	NA	unknown function
phrog_9177	#c9c9c9	NA	unknown function
phrog_9178	#c9c9c9	NA	unknown function
phrog_9179	#c9c9c9	NA	unknown function
phrog_9180	#c9c9c9	NA	unknown function
phrog_9181	#c9c9c9	NA	unknown function
phrog_9182	#c9c9c9	NA	unknown function
phrog_9183	#c9c9c9	NA	unknown function
phrog_9184	#c9c9c9	NA	unknown function
phrog_9185	#c9c9c9	NA	unknown function
phrog_9186	#c9c9c9	NA	unknown function
phrog_9187	#c9c9c9	NA	unknown function
phrog_9188	#c9c9c9	NA	unknown function
phrog_9189	#ff59f5	PufB cytochrome subunit	moron, auxiliary metabolic gene and host takeover
phrog_9190	#c9c9c9	NA	unknown function
phrog_9191	#c9c9c9	NA	unknown function
phrog_9192	#c9c9c9	NA	unknown function
phrog_9193	#c9c9c9	NA	unknown function
phrog_9194	#c9c9c9	NA	unknown function
phrog_9195	#c9c9c9	NA	unknown function
phrog_9196	#c9c9c9	NA	unknown function
phrog_9197	#c9c9c9	NA	unknown function
phrog_9198	#c9c9c9	NA	unknown function
phrog_9199	#c9c9c9	NA	unknown function
phrog_9200	#c9c9c9	NA	unknown function
phrog_9201	#c9c9c9	NA	unknown function
phrog_9202	#c9c9c9	NA	unknown function
phrog_9203	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
phrog_9204	#c9c9c9	NA	unknown function
phrog_9205	#c9c9c9	NA	unknown function
phrog_9206	#3e83f6	major head protein	head and packaging
phrog_9207	#c9c9c9	NA	unknown function
phrog_9208	#fea328	integrase	integration and excision
phrog_9209	#c9c9c9	NA	unknown function
phrog_9210	#c9c9c9	NA	unknown function
phrog_9211	#c9c9c9	NA	unknown function
phrog_9212	#c9c9c9	NA	unknown function
phrog_9213	#c9c9c9	NA	unknown function
phrog_9214	#c9c9c9	NA	unknown function
phrog_9215	#c9c9c9	NA	unknown function
phrog_9216	#c9c9c9	NA	unknown function
phrog_9217	#a861e3	transcriptional regulator	transcription regulation
phrog_9218	#c9c9c9	NA	unknown function
phrog_9219	#c9c9c9	NA	unknown function
phrog_9220	#c9c9c9	unknown function	unknown function
phrog_9221	#07e9a2	tail length tape measure protein	tail
phrog_9222	#c9c9c9	NA	unknown function
phrog_9223	#c9c9c9	NA	unknown function
phrog_9224	#c9c9c9	NA	unknown function
phrog_9225	#c9c9c9	NA	unknown function
phrog_9226	#c9c9c9	NA	unknown function
phrog_9227	#c9c9c9	NA	unknown function
phrog_9228	#07e9a2	tail length tape measure protein	tail
phrog_9229	#07e9a2	tail protein	tail
phrog_9230	#c9c9c9	NA	unknown function
phrog_9231	#3e83f6	terminase small subunit	head and packaging
phrog_9232	#3e83f6	portal protein	head and packaging
phrog_9233	#f35f49	holin	lysis
phrog_9234	#c9c9c9	NA	unknown function
phrog_9235	#c9c9c9	NA	unknown function
phrog_9236	#838383	pyrophosphatase	other
phrog_9237	#c9c9c9	NA	unknown function
phrog_9238	#c9c9c9	NA	unknown function
phrog_9239	#07e9a2	tail tubular protein	tail
phrog_9240	#ff59f5	cyanobacterial phosphoribosylglycinamide formyltransferase	moron, auxiliary metabolic gene and host takeover
phrog_9241	#c9c9c9	NA	unknown function
phrog_9242	#c9c9c9	NA	unknown function
phrog_9243	#c9c9c9	NA	unknown function
phrog_9244	#c9c9c9	NA	unknown function
phrog_9245	#c9c9c9	NA	unknown function
phrog_9246	#c9c9c9	NA	unknown function
phrog_9247	#c9c9c9	NA	unknown function
phrog_9248	#c9c9c9	NA	unknown function
phrog_9249	#c9c9c9	NA	unknown function
phrog_9250	#c9c9c9	NA	unknown function
phrog_9251	#c9c9c9	NA	unknown function
phrog_9252	#ffdf59	DNA repair photolyase	DNA, RNA and nucleotide metabolism
phrog_9253	#c9c9c9	NA	unknown function
phrog_9254	#c9c9c9	NA	unknown function
phrog_9255	#c9c9c9	NA	unknown function
phrog_9256	#c9c9c9	NA	unknown function
